skill_id,code,name,Skill Builder ID,prereq_id,prereq_code,prereq_name,prereq_remediation_problem_set_id-2
113,6.RP.A.1,Finding the Ratio,6011,75,5.OA.B.3,Generating Numerical Patterns,7179
113,6.RP.A.1,Finding the Ratio,6011,47,4.NF.A.1,Equivalent Fractions,39181
114,6.RP.A.2,Expressing Unit Rate in Words,,115,6.RP.A.3a,Making Equivalent Ratio Tables,
115,6.RP.A.3a,Making Equivalent Ratio Tables,,,,,
116,6.RP.A.3b,Unit Rate,37372,113,6.RP.A.1,Finding the Ratio,6011
116,6.RP.A.3b,Unit Rate,37372,114,6.RP.A.2,Expressing Unit Rate in Words,
119,6.RP.A.3c,Conversion with Percents,,,,,
118,6.RP.A.3c,Percent Finding Whole,204100,82,5.NBT.B.6,Dividing Whole Numbers,26468
117,6.RP.A.3c,Percent of,413651,,,,
120,6.RP.A.3d,Unit Conversion with Ratios,9154,121,6.NS.A.1,Dividing Fractions,164496
160,6.SP.A.1,Recognizing Statistical Questions,53233,,,,
161,6.SP.A.2,"Center, Spread, and Shape of Data",,101,5.MD.B.2,Line Plot - 5th Grade Fractions,76046
161,6.SP.A.2,"Center, Spread, and Shape of Data",,164,6.SP.B.4,Box and Whisker,26902
162,6.SP.A.3,Compare Measure of Center with Variation,,161,6.SP.A.2,"Center, Spread, and Shape of Data",
165,6.SP.B.4,Table,,,,,
166,6.SP.B.4,Histograms,,101,5.MD.B.2,Line Plot - 5th Grade Fractions,76046
164,6.SP.B.4,Box and Whisker,26902,172,6.SP.B.5c,Median,32129
167,6.SP.B.4,Number Line,,,,,
163,6.SP.B.4,Circle Graph,,,,,
168,6.SP.B.5a,Summarize data- sample size,,,,,
169,6.SP.B.5b,Summarize data- attributes,,,,,
171,6.SP.B.5c,Mean,32124,43,4.NBT.B.4,Adding Whole Numbers,11827
173,6.SP.B.5c,Deviations in Measures of Center and Spread,,171,6.SP.B.5c,Mean,32124
170,6.SP.B.5c,"Variability - interquartile, range, and mean absolute deviation",14157,162,6.SP.A.3,Compare Measure of Center with Variation,
172,6.SP.B.5c,Median,32129,171,6.SP.B.5c,Mean,32124
171,6.SP.B.5c,Mean,32124,82,5.NBT.B.6,Dividing Whole Numbers,26468
173,6.SP.B.5c,Deviations in Measures of Center and Spread,,172,6.SP.B.5c,Median,32129
174,6.SP.B.5d,Choosing measure of center or spread in a context,,,,,
1104,7.EE.8.4a,Equation solving 2 steps word problems,,,,,
194,7.EE.A.1,Combining Like Terms,37570,185,7.NS.A.1d,Subtracting Integers,7014
194,7.EE.A.1,Combining Like Terms,37570,145,6.EE.A.3,Distributive Property,11901
195,7.EE.A.2,Equivalent expressions in context,,,,,
196,7.EE.B.3,Multi-step problems with rational numbers,,,,,
197,7.EE.B.3,7.EE.B.3-2,,,,,
198,7.EE.B.4a,Equation Solving - Two or Fewer Steps,7148,185,7.NS.A.1d,Subtracting Integers,7014
198,7.EE.B.4a,Equation Solving - Two or Fewer Steps,7148,189,7.NS.A.2c,Multiplying Integers,5965
199,7.EE.B.4b,Solving Inequalities,614720,143,6.EE.A.2c,Substitution,
199,7.EE.B.4b,Solving Inequalities,614720,198,7.EE.B.4a,Equation Solving - Two or Fewer Steps,7148
1105,7.EE.B.4b,Solving inequalities word problems,,,,,
200,7.G.A.1,Scale Drawings,7198,113,6.RP.A.1,Finding the Ratio,6011
200,7.G.A.1,Scale Drawings,7198,177,7.RP.A.2b,Identifying the Constant of Proportionality,85626
201,7.G.A.2,Construct shapes (unique triangles),,,,,
202,7.G.A.3,Cross sections,,,,,
205,7.G.B.4,Definition Pi,,,,,
204,7.G.B.4,Area of Circles,10762,140,6.EE.A.1,Evaluating Exponents,204176
203,7.G.B.4,Circumference,10767,126,6.NS.B.3,Dividing Positive Decimals,
204,7.G.B.4,Area of Circles,10762,81,5.NBT.B.5,Multiplying Whole Numbers Fluently,26695
207,7.G.B.5,Interior Angles of a Triangle,21257,206,7.G.B.5,Complementary and Supplementary Angles,9244
206,7.G.B.5,Complementary and Supplementary Angles,9244,69,4.G.A.1,Identifying Angles,9245
208,7.G.B.5,Interior angles of figures more than 3 sides,9185,,,,
210,7.G.B.6,Surface Area of Prisms,8878,209,7.G.B.6,Surface Area of Rectangular Prisms,8880
209,7.G.B.6,Surface Area of Rectangular Prisms,8880,159,6.G.A.4,Nets of 3D Figures,
209,7.G.B.6,Surface Area of Rectangular Prisms,8880,73,5.OA.A.1,Order of Operations with Parenthesis,541189
212,7.G.B.6,Surface Area Cylinder,8894,,,,
211,7.G.B.6,Volume of Prisms,8917,106,5.MD.C.5b,Volume of Rectangular Prisms,8884
209,7.G.B.6,Surface Area of Rectangular Prisms,8880,27,3.MD.C.7a,Area of Rectangles,10857
181,7.NS.A.1a,Opposites in context to create 0,,,,,
182,7.NS.A.1b,Describe context for adding integers,,,,,
183,7.NS.A.1c,Describe context for subtracting integers,,,,,
184,7.NS.A.1d,Adding Integers,7159,44,4.NBT.B.4,Subtracting Whole Numbers,11833
186,7.NS.A.1d,Adding and Subtracting Non-Integer Rationals,5962,124,6.NS.B.3,Subtracting Positive Decimals,36551
186,7.NS.A.1d,Adding and Subtracting Non-Integer Rationals,5962,123,6.NS.B.3,Adding Positive Decimals,35094
184,7.NS.A.1d,Adding Integers,7159,137,6.NS.C.7c,Absolute Value,31825
186,7.NS.A.1d,Adding and Subtracting Non-Integer Rationals,5962,185,7.NS.A.1d,Subtracting Integers,7014
184,7.NS.A.1d,Adding Integers,7159,43,4.NBT.B.4,Adding Whole Numbers,11827
185,7.NS.A.1d,Subtracting Integers,7014,184,7.NS.A.1d,Adding Integers,7159
186,7.NS.A.1d,Adding and Subtracting Non-Integer Rationals,5962,86,5.NF.A.1,Subtracting Proper Fractions,38719
186,7.NS.A.1d,Adding and Subtracting Non-Integer Rationals,5962,84,5.NF.A.1,Adding Proper Fractions,38715
187,7.NS.A.2a,Describe context for multiplying integers,,,,,
188,7.NS.A.2b,Describe context for dividing integers,,,,,
191,7.NS.A.2c,Multiplying and Dividing Rationals,,190,7.NS.A.2c,Dividing Integers,7020
